# P_bar,T_K,rho_kgm3,alpha_1_K,Cp_J_K_mol
8.000000000000001164e+05,1.680000000000000000e+03,1.009082225724722412e+04,-4.792201088718296198e+00,5.084400384921524392e+02
8.000000000000001164e+05,1.720000000000000000e+03,1.008426608741765449e+04,-4.786204091990531317e+00,5.123129837437369360e+02
8.000000000000001164e+05,1.760000000000000000e+03,1.007762346615903516e+04,-4.780254022127289559e+00,5.162444742702263056e+02
8.000000000000001164e+05,1.800000000000000000e+03,1.007089404377922256e+04,-4.774351163731059167e+00,5.202315037760560017e+02
8.000000000000001164e+05,1.840000000000000000e+03,1.006407749067100485e+04,-4.768495737716663463e+00,5.242711647117807843e+02
8.000000000000001164e+05,1.880000000000000000e+03,1.005717349754614042e+04,-4.762687975682430519e+00,5.283606484994206767e+02
8.000000000000001164e+05,1.920000000000000000e+03,1.005018177561308221e+04,-4.756928010258402395e+00,5.324972477065580279e+02
8.000000000000001164e+05,1.960000000000000000e+03,1.004310205657002734e+04,-4.751216010591437389e+00,5.366783555816610942e+02
8.000000000000001164e+05,2.000000000000000000e+03,1.003593409256430459e+04,-4.745552241065086108e+00,5.409014546983752325e+02
8.000000000000001164e+05,2.040000000000000000e+03,1.002867765590270392e+04,-4.739936530311822160e+00,5.451641566948090940e+02
8.000000000000001164e+05,2.080000000000000000e+03,1.002133253877207790e+04,-4.734369137935140692e+00,5.494641443767917508e+02
8.000000000000001164e+05,2.120000000000000000e+03,1.001389855279236144e+04,-4.728849948007817439e+00,5.537992205974981061e+02
8.000000000000001164e+05,2.160000000000000000e+03,1.000637552869473257e+04,-4.723378903653604688e+00,5.581672845605011162e+02
8.000000000000001164e+05,2.200000000000000000e+03,9.998763315677178980e+03,-4.717955961895420991e+00,5.625663307994689148e+02
8.000000000000001164e+05,2.240000000000000000e+03,9.991061780866904883e+03,-4.712580953180976806e+00,5.669944550670833223e+02
8.000000000000001164e+05,2.280000000000000000e+03,9.983270808762816159e+03,-4.707253649547599395e+00,5.714498565300365271e+02
8.000000000000001164e+05,2.320000000000000000e+03,9.975390300640679925e+03,-4.701973873118564740e+00,5.759308187578876641e+02
8.000000000000001164e+05,2.360000000000000000e+03,9.967420173791777415e+03,-4.696741371838258239e+00,5.804357222643442356e+02
8.000000000000001164e+05,2.400000000000000000e+03,9.959360360936945654e+03,-4.691555839290139751e+00,5.849630418374520104e+02
8.000000000000001164e+05,2.440000000000000000e+03,9.951210809503494602e+03,-4.686416912397312728e+00,5.895113442322532364e+02
8.000000000000001164e+05,2.480000000000000000e+03,9.942971480956590312e+03,-4.681324195970375079e+00,5.940792838300079666e+02
8.000000000000001164e+05,2.520000000000000000e+03,9.934642350155023450e+03,-4.676277337982184257e+00,5.986655914700407948e+02
8.000000000000001164e+05,2.560000000000000000e+03,9.926223404571053834e+03,-4.671275840105354682e+00,6.032690974839465525e+02
8.000000000000001164e+05,2.600000000000000000e+03,9.917714643703087859e+03,-4.666319333869576980e+00,6.078886929692833974e+02
8.000000000000001164e+05,2.640000000000000000e+03,9.909116078304114126e+03,-4.661407212552246548e+00,6.125233741464240893e+02
8.000000000000001164e+05,2.680000000000000000e+03,9.900427729841116161e+03,-4.656539013515372361e+00,6.171721936099166896e+02
8.000000000000001164e+05,2.720000000000000000e+03,9.891649629730343804e+03,-4.651714262583322324e+00,6.218342732592443554e+02
8.000000000000001164e+05,2.760000000000000000e+03,9.882781818857862163e+03,-4.646932289374116287e+00,6.265088334802043164e+02
8.000000000000001164e+05,2.800000000000000000e+03,9.873824346806532049e+03,-4.642192701157092038e+00,6.311951247358665569e+02
8.000000000000001164e+05,2.840000000000000000e+03,9.864777271341039523e+03,-4.637494753774530132e+00,6.358925071200313823e+02
